"","Year","Operational.Demand..MW.","Index"
"245",2018,2914.776,245
"246",2018,2914.35,246
"247",2018,2913.502,247
"248",2018,2913.258,248
"249",2018,2912.906,249
"250",2018,2912.77,250
"251",2018,2912.488,251
"252",2018,2911.238,252
"253",2018,2910.54,253
"254",2018,2909.158,254
"255",2018,2909.082,255
"256",2018,2908.282,256
"257",2018,2905.606,257
"258",2018,2903.882,258
"259",2018,2903.7,259
"260",2018,2903.658,260
"261",2018,2903.514,261
"262",2018,2903.142,262
"263",2018,2902.716,263
"264",2018,2901.964,264
"265",2018,2900.746,265
"266",2018,2900.454,266
"267",2018,2899.172,267
"268",2018,2898.82,268
"269",2018,2898.744,269
"270",2018,2897.462,270
"271",2018,2896.162,271
"272",2018,2895.592,272
"273",2018,2894.63,273
"274",2018,2894.384,274
"275",2018,2894.38,275
"276",2018,2890.798,276
"277",2018,2890.214,277
"278",2018,2889.928,278
"279",2018,2889.798,279
"280",2018,2888.98,280
"281",2018,2888.912,281
"282",2018,2888.636,282
"283",2018,2888.624,283
"284",2018,2886.778,284
"285",2018,2886.402,285
"286",2018,2886.032,286
"287",2018,2885.366,287
"288",2018,2885.062,288
"289",2018,2884.692,289
"290",2018,2883.474,290
"291",2018,2883.328,291
"292",2018,2883.038,292
"293",2018,2882.378,293
"294",2018,2881.366,294
"295",2018,2880.292,295
"296",2018,2880.138,296
"297",2018,2880.064,297
"298",2018,2880.024,298
"299",2018,2879.864,299
"300",2018,2879.754,300
"301",2018,2878.966,301
"302",2018,2878.58,302
"303",2018,2878.228,303
"304",2018,2877.258,304
"305",2018,2876.968,305
"306",2018,2876.524,306
"307",2018,2876.436,307
"308",2018,2876.336,308
"309",2018,2874.768,309
"310",2018,2874.496,310
"311",2018,2873.924,311
"312",2018,2873.63,312
"313",2018,2873.538,313
"314",2018,2872.814,314
"315",2018,2872.366,315
"316",2018,2872.274,316
"317",2018,2871.8,317
"318",2018,2871.704,318
"319",2018,2871.06,319
"320",2018,2870.96,320
"321",2018,2870.624,321
"322",2018,2870.536,322
"323",2018,2870.5,323
"324",2018,2869.426,324
"325",2018,2869.368,325
"326",2018,2869.33,326
"327",2018,2868.888,327
"328",2018,2867.994,328
"329",2018,2867.94,329
"330",2018,2867.766,330
"331",2018,2864.758,331
"332",2018,2864.414,332
"333",2018,2862.382,333
"334",2018,2861.48,334
"335",2018,2860.064,335
"336",2018,2859.768,336
"337",2018,2859.408,337
"338",2018,2859.31,338
"339",2018,2859.254,339
"340",2018,2858.098,340
"341",2018,2856.598,341
"342",2018,2855.994,342
"343",2018,2855.296,343
"344",2018,2855.184,344
"345",2018,2854.532,345
"346",2018,2854.194,346
"347",2018,2853.504,347
"348",2018,2853.072,348
"349",2018,2853.062,349
"350",2018,2852.504,350
"351",2018,2852.296,351
"352",2018,2851.628,352
"353",2018,2851.344,353
"354",2018,2851.232,354
"355",2018,2850.544,355
"356",2018,2850.05,356
"357",2018,2849.806,357
"358",2018,2849.664,358
"359",2018,2849.012,359
"360",2018,2848.946,360
"361",2018,2848.362,361
"362",2018,2848.272,362
"363",2018,2847.86,363
"364",2018,2847.836,364
"365",2018,2847.55,365
"366",2018,2847.278,366
"367",2018,2846.64,367
"368",2018,2846.528,368
"369",2018,2846.33,369
"370",2018,2843.976,370
"371",2018,2843.256,371
"372",2018,2843.082,372
"373",2018,2842.81,373
"374",2018,2842.63,374
"375",2018,2842.144,375
"376",2018,2842.126,376
"377",2018,2842.066,377
"378",2018,2842.024,378
"379",2018,2841.08,379
"380",2018,2840.958,380
"381",2018,2840.606,381
"382",2018,2838.402,382
"383",2018,2837.726,383
"384",2018,2837.666,384
"385",2018,2837.21,385
"386",2018,2837.088,386
"387",2018,2836.4,387
"388",2018,2835.94,388
"389",2018,2834.166,389
"390",2018,2834.008,390
"391",2018,2833.554,391
"392",2018,2833.056,392
"393",2018,2832.58,393
"394",2018,2832.19,394
"395",2018,2831.56,395
"396",2018,2831.026,396
"397",2018,2829.686,397
"398",2018,2829.394,398
"399",2018,2829.26,399
"400",2018,2828.514,400
"401",2018,2828.428,401
"402",2018,2827.946,402
"403",2018,2827.718,403
"404",2018,2827.52,404
"405",2018,2826.712,405
"406",2018,2826.252,406
"407",2018,2825.28,407
"408",2018,2825.082,408
"409",2018,2825.03,409
"410",2018,2824.312,410
"411",2018,2822.834,411
"412",2018,2822.824,412
"413",2018,2822.68,413
"414",2018,2822.556,414
"415",2018,2821.79,415
"416",2018,2821.744,416
"417",2018,2821.518,417
"418",2018,2821.042,418
"419",2018,2820.93,419
"420",2018,2820.626,420
"421",2018,2820.392,421
"422",2018,2819.718,422
"423",2018,2819.392,423
"424",2018,2819.342,424
"425",2018,2818.168,425
"426",2018,2817.41,426
"427",2018,2816.928,427
"428",2018,2816.88,428
"429",2018,2816.59,429
"430",2018,2816.2,430
"431",2018,2815.848,431
"432",2018,2814.92,432
"433",2018,2814.694,433
"434",2018,2813.718,434
"435",2018,2811.962,435
"436",2018,2811.888,436
"437",2018,2811.368,437
"438",2018,2811.296,438
"439",2018,2811.224,439
"440",2018,2810.958,440
"441",2018,2810.544,441
"442",2018,2810.066,442
"443",2018,2809.56,443
"444",2018,2809.112,444
"445",2018,2809.098,445
"446",2018,2808.794,446
"447",2018,2808.776,447
"448",2018,2808.756,448
"449",2018,2808.378,449
"450",2018,2807.996,450
"451",2018,2807.892,451
"452",2018,2807.828,452
"453",2018,2807.79,453
"454",2018,2807.782,454
"455",2018,2807.606,455
"456",2018,2806.832,456
"457",2018,2806.818,457
"458",2018,2805.582,458
"459",2018,2805.07,459
"460",2018,2804.42,460
"461",2018,2803.682,461
"462",2018,2803.564,462
"463",2018,2803.254,463
"464",2018,2803.034,464
"465",2018,2802.968,465
"466",2018,2802.692,466
"467",2018,2802.574,467
"468",2018,2802.462,468
"469",2018,2802.072,469
"470",2018,2801.918,470
"471",2018,2801.6,471
"472",2018,2801.398,472
"473",2018,2801.124,473
"474",2018,2801.01,474
"475",2018,2800.926,475
"476",2018,2800.546,476
"477",2018,2800.462,477
"478",2018,2800.232,478
"479",2018,2800.04,479
"480",2018,2799.73,480
"481",2018,2799.45,481
"482",2018,2798.276,482
