DateTime,energyInjectionCapacity,energyWithdrawalCapacity,contingencyRaise,contingencyLower,regulationRaise,regulationLower,rocof
2023-09-29T08:00:00Z,1773.864,0,309.145,71.181,65.001,65.001,18056.596
2023-09-29T08:00:00Z,1735.352,0,308.703,72.523,65,65.001,18058.182
2023-09-29T08:00:00Z,1705.246,0,304.478,72.572,65,65,18045.024
2023-09-29T08:00:00Z,1680.872,0,298.36,73.422,65,65,18048.554
2023-09-29T08:00:00Z,1662.406,0,277.174,75.065,65.001,65,18062.968
2023-09-29T08:00:00Z,1648.981,0,260.681,74.533,65,65,18062.38
2023-09-29T08:00:00Z,1639.271,0,250.722,73.871,65.001,65,17561.957
2023-09-29T08:00:00Z,1633.794,0,234.914,72.062,65.001,65,18089.146
2023-09-29T08:00:00Z,1634.186,0,250.136,73.049,65.001,65,17825.22
2023-09-29T08:00:00Z,1640.41,0,273.401,75.832,65,65,18101.284
2023-09-29T08:00:00Z,1654.862,0,303.181,77.328,65.001,65,18116.269
2023-09-29T08:00:00Z,1676.695,0,316.308,77.567,65.001,65,18112.323
2023-09-29T08:00:00Z,1691.084,0,316.308,77.066,65.001,65,18122.202
2023-09-29T08:00:00Z,1671.122,0,276.974,78.761,110.001,110.001,18113.554
2023-09-29T08:00:00Z,1587.637,0,169.056,83.671,110.001,110.001,16848.359
2023-09-29T08:00:00Z,1471.949,0,163.611,85.703,110.001,110,16863.012
2023-09-29T08:00:00Z,1363.502,0,164.371,88.482,110,110,16850.4
2023-09-29T08:00:00Z,1258.934,0,163.467,90.126,110,110,16826.543
2023-09-29T08:00:00Z,1163.5,0,169.055,85.469,110,110,16847.194
2023-09-29T08:00:00Z,1064.881,0,168.908,46.11,109.999,110,16858.213
2023-09-29T08:00:00Z,1000.629,0,168.76,11.837,109.999,110,16875.823
2023-09-29T08:00:00Z,980.709,0,163.72,10,110.001,91.927,16873.428
2023-09-29T08:00:00Z,964.443,0,136.989,10,110,75.661,16874.577
2023-09-29T08:00:00Z,960.359,0,132.247,10,110.002,71.577,16866.309
2023-09-29T08:00:00Z,956.901,0,128.228,10,110.001,68.119,16853.48
2023-09-29T08:00:00Z,994.74,0,168.525,10,110.002,105.958,16846.132
2023-09-29T08:00:00Z,994.829,0,168.525,10,110.002,106.047,16849.058
2023-09-29T08:00:00Z,969.512,0,146.469,10,110.002,80.73,16854.138
2023-09-29T08:00:00Z,990.228,0,168.544,10,110.001,101.446,16861.263
