DateTime,facilityCode,dispatchCap
2023-09-29T08:00:00Z,EDWFMAN_WF1,0
2023-09-29T08:00:00Z,GRASMERE_WF1,0.338
2023-09-29T08:00:00Z,GREENOUGH_RIVER_PV1,3.739
2023-09-29T08:00:00Z,MERSOLAR_PV1,100
2023-09-29T08:00:00Z,MWF_MUMBIDA_WF1,2.082
2023-09-29T08:00:00Z,WARRADARGE_WF1,0
2023-09-29T08:00:00Z,ALBANY_WF1,0.95
2023-09-29T08:00:00Z,ALINTA_WWF,89.1
2023-09-29T08:00:00Z,BADGINGARRA_WF1,130
2023-09-29T08:00:00Z,INVESTEC_COLLGAR_WF1,218.5
2023-09-29T08:00:00Z,YANDIN_WF1,211.68
